"A","B","C","D","State"
1,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,1,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
1,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
1,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,1,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,1,0,"California"
0,1,0,0,"California"
1,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,1,0,0,"California"
0,1,0,0,"California"
0,1,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
1,1,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
1,1,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,1,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,1,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,1,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,1,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,1,"California"
0,1,0,1,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,1,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,1,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,1,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,1,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,1,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
1,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,1,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,1,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
0,0,0,0,"California"
